GameDay,Pitch,StartTime,EndTime,Home,Away,Referee,Group,League
5,R11,10:00,11:35,SPIELFREI,Schachtjor Intermezzo,ZüriUtd,H,H
5,R6,11:25,12:50,RotoR,Dynamo Röntgen,A.C. Tabula Rasant,A,M
5,R11,11:35,13:10,A.C. Tabula Entspannt,El Social,BSC Tram 5,H,H
5,R2,11:40,13:20,Bund Schöne Rosen,Ex Hürlimann,Real Azul,B,M
5,R7,11:55,13:50,Zürich United,Atletico Bernina,Deportivo La Habana,B,M
5,R6,12:50,14:15,Sputnik,Olympique Lettenwiese,FC Eglisau,B,M
5,R11,13:10,14:45,BSC Tram 5,ZüriUtd,A.C. Tabula Entspannt,H,H
5,R2,13:20,15:00,Traktor Emilie,Real Azul,Bund Schöne Rosen,B,M
5,R7,13:50,15:45,Wacker Selnau,Freestylers,Schachtjor,A,M
5,R6,14:15,15:40,FC Eglisau,Sporting Morgenstern,Olympique Lettenwiese,B,M
5,R11,14:45,16:20,AS Lettenwiese,1. FC Brennivin,A.C. Tabula Brisant,E,H
5,R2,15:00,16:20,Rapid Industrie,Real Rosé,elle real,F,F
5,R2,15:00,16:20,elle real,Blutgretchen,Rapid Industrie,F,F
5,R6,15:40,17:05,FC Widerstand Wipkingen,Furttals Finest,Aurora,A,M
5,R7,15:45,17:10,Schachtjor,FC Tormotor 07,Wacker Selnau,A,M
5,R2,16:20,17:40,Juventinas,MaraDonnas,Loriñas,F,F
5,R2,16:20,17:25,Loriñas,Divas united,Juventinas,F,F
5,R11,16:20,17:45,A.C. Tabula Brisant,Zenit ,AS Lettenwiese,E,H
5,R6,17:05,18:30,Aurora,Gremio,Furttals Finest,A,M
6,R2,10:00,11:55,Sputnik,Real Azul,Olympique Lettenwiese,B,M
6,R6,10:00,11:55,Wacker Selnau,Gremio,Freestylers,A,M
6,R7,10:00,11:55,A.C. Tabula Rasant,FC Tormotor 07,RotoR,A,M
6,R11,10:00,11:55,Deportivo La Habana,Sporting Morgenstern,Real Cabron,B,M
6,R2,11:55,13:50,FC Eglisau,Olympique Lettenwiese,Sputnik,B,M
6,R6,11:55,13:50,Schachtjor,Freestylers,Wacker Selnau,A,M
6,R7,11:55,13:20,RotoR,Zwietracht Turicum,FC Tormotor 07,A,M
6,R11,11:55,13:50,Zürich United,Real Cabron,Deportivo La Habana,B,M
6,R2,13:50,15:25,Juventinas,Rapid Industrie,Divas united,F,F
6,R2,13:50,15:25,Divas united,MaraDonnas,Juventinas,F,F
6,R6,13:50,15:45,Bund Schöne Rosen,Atletico Bernina,Traktor Emilie,B,M
6,R11,13:50,15:45,FC Widerstand Wipkingen,Dynamo Röntgen,Furttals Finest,A,M
6,R2,15:25,17:00,elle real,Real Rosé,Blutgretchen,F,F
6,R2,15:25,16:30,Loriñas,Blutgretchen,Real Rosé,F,F
6,R6,15:45,17:10,Traktor Emilie,Ex Hürlimann,Atletico Bernina,B,M
6,R11,15:45,17:10,Aurora,Furttals Finest,FC Widerstand Wipkingen,A,M
7,R2,10:00,11:35,Blutgretchen,Real Rosé,elle real,F,F
7,R2,10:00,11:35,Juventinas,elle real,Blutgretchen,F,F
7,R2,11:35,13:10,Divas united,Rapid Industrie,MaraDonnas,F,F
7,R2,11:35,12:40,Loriñas,MaraDonnas,Divas united,F,F
